id,name,dateTime,location,address,imageUrl
Z7r9jZ1A7Capb,Rouyn-Noranda Huskies vs. Detroit Pistons,2025-03-07T19:00:00,Arena Glencore,"218 Murdoch Ave, J9X 1E6 Rouyn-Noranda",https://s1.ticketm.net/dam/a/a6b/e47c950b-3a4d-44ad-baff-d7e7d13dca6b_SOURCE
LvZ18_SzMMv4_dZZ-vj-8,EZEQUIEL ARIAS,2025-01-31T22:00:00,Newspeak,"1403 Rue Sainte Elisabeth, H2X3C5 Montreal",https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_TABLET_LANDSCAPE_LARGE_16_9.jpg
17G8vOG62TjlAQb,Nurse John : The Short Staffed Tour,2025-02-01T21:30:00,L'Olympia,"1004 Sainte-Catherine Street East, H2L2G2 Montreal",https://s1.ticketm.net/dam/a/f9d/9e426efc-1298-4cae-abd4-c3e3d4848f9d_SOURCE
17G8vOG62hbLdPV,Nurse John : The Short Staffed Tour,2025-02-01T19:00:00,L'Olympia,"1004 Sainte-Catherine Street East, H2L2G2 Montreal",https://s1.ticketm.net/dam/a/f9d/9e426efc-1298-4cae-abd4-c3e3d4848f9d_SOURCE
17G8vOG65SvaSph,Undercover Legends of Rock,2025-02-01T20:00:00,Theatre du Casino du Lac-Leamy,"1 Blvd du Casino, J8Y 6W3 GATINEAU",https://s1.ticketm.net/dam/a/12d/91bd5a60-ac04-4601-8d73-99456c65c12d_SOURCE
17G8vOG6GCbnvyi,L'Armada recoit Les Olympiques de Gatineau,2025-02-01T16:00:00,Centre D'Excellence Sports Rousseau,"3600 boulevard Grande-Allee, J7H 1M9 Boisbriand",https://s1.ticketm.net/dam/a/b80/552461dd-f3c6-4940-8717-2138b31b5b80_SOURCE
17G8vOG6u1Ie3vw,Remparts de Quebec v Mooseheads de Halifax - Hommage Premiers Peuples,2025-02-01T16:00:00,Centre Videotron,"250 boulevard Wilfrid-Hamel, G1L5A7 Quebec",https://s1.ticketm.net/dam/a/e75/ccb0801a-18a3-4f4d-9ebd-3d5676df4e75_SOURCE
1Ad7Zb3GkUpbwZx,JIMMY MOORE personnifie TAYLOR SWIFT - The Eras Tour,2025-02-01T20:00:00,Théâtre Capitole,"972 Rue Saint-Jean , G1R1R5 Quebec",https://s1.ticketm.net/dam/a/d72/fc4de281-6778-43a1-9425-229829187d72_SOURCE
1Ad7ZbfGkXLfx81,Alain Choquette,2025-02-01T20:00:00,Le Club Square Dix30,"9200 Boulevard Leduc, J4Y0L1 Brossard",https://s1.ticketm.net/dam/a/3fb/3854333e-2d87-4564-a6ae-25ec845cd3fb_SOURCE
1Ad7ZboGkgYv8MG,Laval Rocket vs. Hartford Wolf Pack,2025-02-01T15:00:00,Place Bell,"1950 Rue Claude-Gagne, H7N 0E4 Laval",https://s1.ticketm.net/dam/a/3cd/9267dbdd-f12f-44b9-b81f-8503945aa3cd_SOURCE
